,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,look_back_0_open,look_back_0_close,look_back_0_high,look_back_0_low,look_back_1_open,look_back_1_close,look_back_1_high,look_back_1_low,look_back_2_open,look_back_2_close,look_back_2_high,look_back_2_low,look_back_3_open,look_back_3_close,look_back_3_high,look_back_3_low,look_back_4_open,look_back_4_close,look_back_4_high,look_back_4_low
3628,000001.SH,20070201,2785.432,2744.814,2801.689,2706.291,2786.335,-0.903,-0.0324,93443531.0,69672869.128,2.3377771445944386,2.430898102113746,2.468168952633008,2.2494591908173875,2.7533366965395656,2.4329683228198355,2.761523582631975,2.3880608109805475,2.829733113581663,2.763623607179901,2.87813455272558,2.6975966344939972,2.687261579186078,2.7973271670915496,2.818127956090827,2.6611419507204355,2.477951490565326,2.6535694822905214,2.707276005281493,2.282784471198023
3627,000001.SH,20070202,2673.212,2791.49,2796.436,2666.862,2785.432,-112.22,-4.0288,85446236.0,65092192.884,2.4194672611284207,2.1502007841080317,2.430727106537905,2.1357446542353635,2.313206738618709,2.4056758855743063,2.4426858546042234,2.22550697624315,2.725857534973,2.4077316155388773,2.733987116039977,2.3631384388544943,2.8017192067441705,2.7360724412310575,2.849781854597994,2.6705076317298215,2.660244917798169,2.7695400893031987,2.7901952808519734,2.634308116595128
3626,000001.SH,20070205,2612.537,2658.074,2672.352,2610.331,2673.212,-60.675,-2.2697,69224512.0,54541808.88,2.0960648310246266,1.9929899663313744,2.1283836688507947,1.987996594973725,2.3980574117373394,2.130330314076352,2.4092528853252535,2.1159568289806687,2.2924043738907045,2.384344880601961,2.4211432659878716,2.2052059854905446,2.702696071832235,2.3863888580887966,2.7107791766002176,2.342050617765292,2.7781240472406554,2.7128525801195313,2.8259119239871238,2.647662600472967
3625,000001.SH,20070206,2675.697,2612.839,2677.042,2541.525,2612.537,63.16,2.4176,86629950.0,68761575.724,1.9724143595582173,2.11375022690928,2.1167744520132783,1.8120652227057306,2.074125008316137,1.9717353142188805,2.106229012803051,1.9667751353494223,2.374110150676843,2.1081627180740097,2.3852312044793567,2.0938847779919323,2.2691594213428177,2.3604887709890905,2.397042546093711,2.1825406676763803,2.6767237831093524,2.3625191615235974,2.6847531569728336,2.3184756512357643
3624,000001.SH,20070207,2716.175,2688.96,2745.387,2681.329,2675.697,40.478,1.5128,94883764.0,77315160.656,2.119968118913765,2.1807219921125047,2.2459339025986913,2.102932924852418,1.9500380957000512,2.0903602328129063,2.093362766689529,1.7908390615903733,2.0510192257439597,1.949363920807307,2.0828929645472516,1.9444393187762066,2.3488527273674387,2.084812800334535,2.359894015511513,2.070637268649362,2.2446547561962333,2.3353290469030634,2.371620640384302,2.1586572747619135
3623,000001.SH,20070208,2737.732,2725.14,2751.162,2691.268,2716.175,21.557,0.7937,88434295.0,69597596.5923,2.176291889746407,2.2041954864986124,2.2339560729330232,2.1012322781524846,2.0961178006029226,2.1564256457118214,2.221158799168413,2.0792076714085077,1.927435328527432,2.066727282518068,2.069707773117791,1.7694050633760086,2.0276750997381994,1.9267661031288321,2.059314835636228,1.9218776553496584,2.323322039405618,2.0612205768375382,2.3342822672912926,2.047149115641819
3622,000001.SH,20070209,2730.386,2741.48,2747.944,2704.365,2737.732,-7.346,-0.2683,80874438.0,62974673.374,2.1889411007064825,2.1645287444713976,2.2031651380873716,2.107269512310488,2.1529849171044195,2.1806936235864987,2.2102463497661615,2.078449552908028,2.073370796986757,2.1332574271416,2.197538457458824,2.0565787751344113,1.9058664731206258,2.0441855544461114,2.0471452280657423,1.748939956756032,2.005406128276029,1.9052019218692289,2.0368248791616006,1.900347617032868
3621,000001.SH,20070212,2807.174,2729.836,2807.51,2728.783,2730.386,76.788,2.8123,79009403.0,63455731.276,2.1370732255730394,2.3058677694511402,2.306601108388572,2.1347749937244833,2.1624869118452037,2.1382736315718107,2.1765949561653053,2.081481332491771,2.126823940899896,2.1543066906026693,2.1836184225362962,2.0528963918264913,2.0478590517443753,2.1072573231199287,2.171014159549201,2.0312039641505177,1.881720678958101,2.018911806723102,2.021847345029187,1.7260738546010856
3620,000001.SH,20070213,2831.872,2819.138,2835.089,2801.313,2807.174,24.698,0.8798,79001671.0,62209741.42,2.3038463824763604,2.3314070516927154,2.338369724291193,2.265267072850043,2.110566746669941,2.2779522528623763,2.2786794701434117,2.10828769965527,2.1357682883972258,2.111757132100206,2.149758563708559,2.055438915225793,2.1004030194326235,2.1276563527742556,2.156723400644182,2.0270925916254634,2.022097301492642,2.0809997369193036,2.1442243536264,2.005581244732001
3619,000001.SH,20070214,2905.093,2836.819,2915.063,2823.382,2831.872,73.221,2.5856,94044555.0,74326325.636,2.310878528537267,2.457249975000236,2.4786244853736705,2.2820711768935533,2.2729725387767172,2.300272740892595,2.307169611491526,2.2347578299094706,2.0815195272051654,2.247323126328597,2.2480434709108916,2.07926201873744,2.1064828971939584,2.0826986626821355,2.120340954872381,2.0269126913253532,2.071451854114529,2.0984476248890807,2.1272399693539965,1.9988342597946758
3618,000001.SH,20070215,2993.008,2923.666,2994.622,2923.666,2905.093,87.915,3.0262,108831177.0,86918918.782,2.460369975706444,2.6074190880763153,2.610841793902005,2.460369975706444,2.276199137513338,2.420983411084055,2.4421261478139975,2.247704157228461,2.2387041798280722,2.265708353300397,2.2725304379603997,2.200903850619325,2.049327181286721,2.213332895752142,2.214045429306933,2.047094152021262,2.0740198619771375,2.050493530855575,2.087727650364534,1.9953124724353324
3617,000001.SH,20070216,2998.474,3018.18,3036.346,2975.827,2993.008,5.466,0.1826,117921722.0,94064924.145,2.6232229641824327,2.5818748023320817,2.6613398173324123,2.5343556801649796,2.4249087365804773,2.5704057546981613,2.573792334076344,2.4249087365804773,2.24268181015109,2.385937894702542,2.4068574711588506,2.2144875926141383,2.2055826094164876,2.2323017555142437,2.239051833494178,2.1681812603358774,2.01820447333813,2.180479117668918,2.181184130476273,2.0159950135579408
